City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches(last 3 hrs),Snow Inches(last 3 hrs)
0,Lebu,CL,2020-02-22 06:41:31,-37.62,-73.65,49.96,98,4,1.86,clear sky,0.0,0.0
1,Mahebourg,MU,2020-02-22 06:41:31,-20.41,57.7,82.99,58,20,5.82,few clouds,0.0,0.0
2,East London,ZA,2020-02-22 06:41:32,-33.02,27.91,71.6,94,90,11.41,overcast clouds,0.0,0.0
3,Okhotsk,RU,2020-02-22 06:41:32,59.38,143.3,-4.58,78,100,0.65,overcast clouds,0.0,0.0
4,Puerto Ayora,EC,2020-02-22 06:41:32,-0.74,-90.35,78.13,86,47,3.74,light rain,0.19,0.0
5,Pingliang,CN,2020-02-22 06:39:03,35.54,106.69,46.36,34,0,6.6,clear sky,0.0,0.0
6,Atuona,PF,2020-02-22 06:41:33,-9.8,-139.03,81.72,78,98,15.82,overcast clouds,0.0,0.0
7,Biak,ID,2020-02-22 06:41:33,-0.91,122.88,86.79,67,91,8.08,light rain,0.5,0.0
8,Benton Harbor,US,2020-02-22 06:41:33,42.12,-86.45,30.99,63,1,16.11,clear sky,0.0,0.0
9,Punta Arenas,CL,2020-02-22 06:41:34,-53.15,-70.92,53.6,81,79,14.99,broken clouds,0.0,0.0
10,Coromandel,BR,2020-02-22 06:41:34,-18.47,-47.2,66.27,97,100,0.81,light rain,2.94,0.0
11,Half Moon Bay,US,2020-02-22 06:41:34,37.46,-122.43,61.0,44,75,5.82,broken clouds,0.0,0.0
12,Hobart,AU,2020-02-22 06:38:41,-42.88,147.33,73.0,49,16,17.22,few clouds,0.0,0.0
13,Albany,US,2020-02-22 06:41:34,42.6,-73.97,26.6,42,1,8.05,clear sky,0.0,0.0
14,Moussoro,TD,2020-02-22 06:41:35,13.64,16.49,67.01,18,0,15.99,clear sky,0.0,0.0
15,Oranjemund,NA,2020-02-22 06:41:35,-28.55,16.43,63.46,85,79,14.97,broken clouds,0.0,0.0
16,Hilo,US,2020-02-22 06:41:35,19.73,-155.09,69.8,77,90,6.93,light rain,0.0,0.0
17,Port Hawkesbury,CA,2020-02-22 06:41:35,45.62,-61.35,12.99,50,1,3.36,clear sky,0.0,0.0
18,Coruche,PT,2020-02-22 06:41:36,38.96,-8.53,57.0,87,0,5.82,clear sky,0.0,0.0
19,Nanortalik,GL,2020-02-22 06:41:36,60.14,-45.24,24.12,81,83,15.32,broken clouds,0.0,0.0
20,Tiksi,RU,2020-02-22 06:41:36,71.69,128.87,-9.06,86,74,6.91,broken clouds,0.0,0.0
21,Kang,BW,2020-02-22 06:41:36,-23.68,22.79,76.24,58,99,5.26,overcast clouds,0.0,0.0
22,Batemans Bay,AU,2020-02-22 06:41:37,-35.72,150.18,69.01,77,96,5.99,light rain,0.13,0.0
23,Longyearbyen,SJ,2020-02-22 06:41:37,78.22,15.64,3.2,71,40,20.8,scattered clouds,0.0,0.0
24,Hithadhoo,MV,2020-02-22 06:41:37,-0.6,73.08,81.41,78,98,9.04,light rain,0.69,0.0
25,Hermanus,ZA,2020-02-22 06:41:38,-34.42,19.23,71.01,79,94,7.0,overcast clouds,0.0,0.0
26,Prado,BR,2020-02-22 06:41:38,-17.34,-39.22,81.01,84,66,17.54,broken clouds,0.0,0.0
27,Cidreira,BR,2020-02-22 06:41:38,-30.18,-50.21,66.49,69,0,23.69,clear sky,0.0,0.0
28,Fortuna,US,2020-02-22 06:41:38,40.6,-124.16,48.99,93,90,1.23,overcast clouds,0.0,0.0
