City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Lebu,CL,49.96,-37.62,-73.65,clear sky,Hostal Las Lilas
1,Mahebourg,MU,82.99,-20.41,57.7,few clouds,Shandrani Beachcomber Resort & Spa
2,East London,ZA,71.6,-33.02,27.91,overcast clouds,Tu Casa
5,Pingliang,CN,46.36,35.54,106.69,clear sky,Xinxiang Hostel
6,Atuona,PF,81.72,-9.8,-139.03,overcast clouds,Villa Enata
9,Punta Arenas,CL,53.6,-53.15,-70.92,broken clouds,Hotel Dreams Del Estrecho
11,Half Moon Bay,US,61.0,37.46,-122.43,broken clouds,"The Ritz-Carlton, Half Moon Bay"
12,Hobart,AU,73.0,-42.88,147.33,few clouds,St Ives Apartments
14,Moussoro,TD,67.01,13.64,16.49,clear sky,Pharmacie alnadja Moussoro
15,Oranjemund,,63.46,-28.55,16.43,broken clouds,Sperrgebiet Guest House
16,Hilo,US,69.8,19.73,-155.09,light rain,Hilo Hawaiian Hotel
18,Coruche,PT,57.0,38.96,-8.53,clear sky,Luxury villa nearby Alentejo
21,Kang,BW,76.24,-23.68,22.79,overcast clouds,Kang Ultra Stop
25,Hermanus,ZA,71.01,-34.42,19.23,overcast clouds,Misty Waves Boutique Hotel
26,Prado,BR,81.01,-17.34,-39.22,broken clouds,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
27,Cidreira,BR,66.49,-30.18,-50.21,clear sky,Novomar Pousada e Turismo Ltda
28,Fortuna,US,48.99,40.6,-124.16,overcast clouds,Super 8 By Wyndham Fortuna
29,Kaitangata,NZ,57.0,-46.28,169.85,few clouds,Kaitangata Motor Camp
30,Ushuaia,AR,55.4,-54.8,-68.3,scattered clouds,Albatros Hotel
31,Komsomolskiy,UZ,50.0,40.43,71.72,broken clouds,"Hotel ""Ikathouse"""
32,Kapaa,US,73.4,22.08,-159.32,overcast clouds,Sheraton Kauai Resort at Coconut Beach
36,Neuquen,AR,59.0,-38.95,-68.06,clear sky,Hotel del Comahue
37,Brownwood,US,42.8,31.71,-98.99,clear sky,La Quinta Inn & Suites by Wyndham Brownwood
39,Dafeng,CN,71.24,23.45,108.59,clear sky,Shenglong Hotel
43,Faya,SA,66.2,18.39,42.45,overcast clouds,مقبرة ال مجمل
44,Diego De Almagro,CL,58.86,-26.37,-70.05,scattered clouds,hotel luna del desierto
48,Bluff,NZ,54.0,-46.6,168.33,few clouds,Bluff Homestead - Guesthouse & Campervan Park
49,Hongjiang,CN,55.36,27.11,110.0,overcast clouds,洪江大酒店
50,Yarada,IN,84.2,17.65,83.27,haze,JV's Green Valley Beach Resort
51,Vaini,TO,80.6,-21.2,-175.2,smoke,Keleti Beach Resort
57,Mataura,NZ,54.0,-46.19,168.86,broken clouds,Ellie's Villa
59,Poum,NC,80.92,-20.23,164.02,few clouds,Gîte kajeon
62,Mar Del Plata,AR,57.0,-38.0,-57.56,broken clouds,Gran Hotel Mar del Plata habitaciones
63,Araouane,ML,74.08,18.9,-3.53,overcast clouds,
64,Cabo San Lucas,MX,69.01,22.89,-109.91,overcast clouds,Hotel Tesoro Los Cabos
67,Busselton,AU,80.01,-33.65,115.33,overcast clouds,Observatory Guest House
68,Vila Franca Do Campo,PT,50.0,37.72,-25.43,few clouds,Pestana Bahia Praia
69,Bambous Virieux,MU,82.99,-20.34,57.76,few clouds,Casa Tia Villa
70,Pali,IN,75.99,25.77,73.33,clear sky,Seervi Hostel
71,Port Elizabeth,ZA,69.8,-33.92,25.57,few clouds,39 On Nile Guest House
74,Shache,CN,46.29,38.42,77.24,clear sky,Delong Hotel
86,New Norfolk,AU,72.0,-42.78,147.06,few clouds,The Shingles Riverside Cottages
89,Belmonte,BR,78.8,-15.86,-38.88,broken clouds,Pousada Monte Carmelo O Pão
90,Xinan,CN,56.34,26.72,119.86,few clouds,昌雄大酒店
92,Port Lincoln,AU,69.73,-34.73,135.87,clear sky,Port Lincoln Hotel
93,Kpandae,GH,74.7,8.47,-0.01,clear sky,
94,Sai Buri,TH,86.0,6.7,101.62,few clouds,Sai Buri Resort
95,Irara,BR,73.47,-12.05,-38.77,broken clouds,Hotel Avenida
100,Hambantota,LK,82.4,6.12,81.12,broken clouds,Bungalow 63
103,Ascension,US,45.0,30.22,-90.9,clear sky,Highland Inn
104,Lufilufi,WS,80.6,-13.87,-171.6,light intensity drizzle,Leuaina Beach Resort and Spa
106,Tacuati,PY,68.18,-23.45,-56.58,few clouds,
107,Bredasdorp,ZA,71.6,-34.53,20.04,few clouds,Bredasdorp Country Manor
108,Hasaki,JP,64.4,35.73,140.83,broken clouds,Inubosaki Kanko Hotel
109,Adrar,MR,70.7,20.5,-10.07,overcast clouds,
110,Kaele,CM,73.4,10.11,14.45,clear sky,Hotel Du Centre
111,Broken Hill,AU,84.2,-31.95,141.43,clear sky,Daydream Motel & Cottages
112,Nicoya,CR,80.6,10.15,-85.45,broken clouds,Guayacan Real
113,Victoria,HK,81.0,22.29,114.16,few clouds,Mini Hotel Central
