City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Xining,CN,2020-02-18 04:49:23,36.62,101.77,34.0,17,43,7.47
1,Rikitea,PF,2020-02-18 04:50:00,-23.12,-134.97,79.47,80,99,14.12
2,Vaini,TO,2020-02-18 04:50:00,-21.2,-175.2,82.4,65,20,14.99
3,Hermanus,ZA,2020-02-18 04:50:00,-34.42,19.23,66.99,82,33,13.0
4,Bonavista,CA,2020-02-18 04:50:00,48.65,-53.11,26.01,88,70,5.01
5,Nova Olinda Do Norte,BR,2020-02-18 04:50:00,-3.89,-59.09,74.79,98,19,1.95
6,Nemuro,JP,2020-02-18 04:50:01,43.32,145.57,30.2,68,75,9.17
7,Ottawa,CA,2020-02-18 04:48:45,45.41,-75.7,10.0,60,40,8.05
8,Kapaa,US,2020-02-18 04:50:01,22.08,-159.32,77.0,73,75,17.22
9,Caravelas,BR,2020-02-18 04:50:01,-17.71,-39.25,79.84,79,17,16.89
10,Cherskiy,RU,2020-02-18 04:50:02,68.75,161.3,-17.77,97,95,4.21
11,Fereydun Kenar,IR,2020-02-18 04:50:02,36.69,52.52,44.6,87,75,4.7
12,Jamestown,US,2020-02-18 04:50:02,42.1,-79.24,41.0,55,90,4.7
13,Borogontsy,RU,2020-02-18 04:50:02,62.67,131.17,-7.92,94,98,2.44
14,Esperance,AU,2020-02-18 04:50:03,-33.87,121.9,73.4,33,12,11.41
15,Coquimbo,CL,2020-02-18 04:50:03,-29.95,-71.34,60.8,87,0,4.7
16,Tessalit,ML,2020-02-18 04:50:03,20.2,1.01,65.05,19,22,9.08
17,Maloy,NO,2020-02-18 04:50:03,61.94,5.11,42.8,81,100,27.51
18,Ribeira Grande,PT,2020-02-18 04:50:03,38.52,-28.7,52.84,70,82,7.25
19,Cape Town,ZA,2020-02-18 04:48:07,-33.93,18.42,66.99,72,0,8.05
20,Nikolskoye,RU,2020-02-18 04:50:04,59.7,30.79,41.0,75,90,11.18
21,Talnakh,RU,2020-02-18 04:50:04,69.49,88.4,14.0,85,40,31.32
22,Yellowknife,CA,2020-02-18 04:45:33,62.46,-114.35,-22.0,74,5,9.17
23,Castro,BR,2020-02-18 04:50:04,-24.79,-50.01,65.82,86,56,3.31
24,Tansen,NP,2020-02-18 04:50:05,27.87,83.55,68.76,49,0,4.34
25,Punta Arenas,CL,2020-02-18 04:46:50,-53.15,-70.92,50.0,71,87,29.97
26,Margate,GB,2020-02-18 04:50:05,51.38,1.39,42.8,80,7,14.99
27,Lourdes,FR,2020-02-18 04:50:05,43.1,-0.05,37.4,100,46,5.82
28,Ashcroft,CA,2020-02-18 04:50:06,50.72,-121.29,37.4,59,75,3.36
29,Busselton,AU,2020-02-18 04:50:06,-33.65,115.33,86.0,19,100,2.24
30,Farah,AF,2020-02-18 04:50:06,32.5,62.5,59.0,29,70,3.27
31,San Quintin,MX,2020-02-18 04:46:04,30.48,-115.95,56.14,88,0,0.78
32,Mahebourg,MU,2020-02-18 04:50:06,-20.41,57.7,82.0,88,40,8.05
33,Tiksi,RU,2020-02-18 04:50:07,71.69,128.87,-8.57,92,99,7.2
34,Zhigalovo,RU,2020-02-18 04:50:07,54.81,105.16,17.4,86,98,1.63
35,Tasiilaq,GL,2020-02-18 04:50:07,65.61,-37.64,28.4,68,100,26.4
36,Manggar,ID,2020-02-18 04:50:08,-2.88,108.27,83.03,73,67,19.46
37,Ushuaia,AR,2020-02-18 04:46:41,-54.8,-68.3,48.2,70,75,10.29
38,Baherden,TM,2020-02-18 04:50:08,38.44,57.43,42.82,56,87,11.56
39,Provideniya,RU,2020-02-18 04:50:08,64.38,-173.3,10.4,78,90,22.37
40,Hobart,AU,2020-02-18 04:50:08,-42.88,147.33,70.0,52,75,17.22
41,Upernavik,GL,2020-02-18 04:50:09,72.79,-56.15,2.14,95,100,4.74
42,Leningradskiy,RU,2020-02-18 04:50:09,69.38,178.42,-13.07,98,96,7.05
43,Kaitangata,NZ,2020-02-18 04:50:09,-46.28,169.85,61.0,92,48,4.0
44,Avarua,CK,2020-02-18 04:50:09,-21.21,-159.78,80.6,88,100,19.46
45,Port Alfred,ZA,2020-02-18 04:50:09,-33.59,26.89,66.99,93,100,17.4
46,Bengkulu,ID,2020-02-18 04:49:06,-3.8,102.27,83.8,71,74,3.06
47,Yunhe,CN,2020-02-18 04:50:10,34.08,119.72,49.39,33,0,5.77
48,Adrar,MR,2020-02-18 04:50:10,20.5,-10.07,70.95,15,94,11.16
49,Nelson Bay,AU,2020-02-18 04:50:10,-32.72,152.15,93.0,49,20,8.05
50,Nukus,UZ,2020-02-18 04:49:34,42.45,59.61,19.4,92,0,2.24
51,Lata,PT,2020-02-18 04:50:11,40.16,-8.33,46.99,93,0,1.12
52,Hithadhoo,MV,2020-02-18 04:50:11,-0.6,73.08,84.22,70,40,7.92
53,San Cristobal,VE,2020-02-18 04:50:11,7.77,-72.22,82.4,61,20,4.7
54,Bluff,NZ,2020-02-18 04:50:11,-46.6,168.33,61.0,87,90,8.01
55,Pevek,RU,2020-02-18 04:50:12,69.7,170.31,-12.82,99,100,4.0
56,Flinders,AU,2020-02-18 04:50:12,-34.58,150.86,91.0,66,75,10.29
57,Lompoc,US,2020-02-18 04:50:12,34.64,-120.46,57.99,66,1,8.48
58,Hilo,US,2020-02-18 04:50:12,19.73,-155.09,75.2,69,90,4.7
59,Atuona,PF,2020-02-18 04:50:13,-9.8,-139.03,80.98,79,90,20.98
60,Albany,US,2020-02-18 04:48:02,42.6,-73.97,27.0,53,90,5.82
61,Rudnogorsk,RU,2020-02-18 04:50:13,57.26,103.75,15.08,87,100,2.53
62,Magistralnyy,RU,2020-02-18 04:50:13,56.17,107.45,17.06,85,97,1.57
